Jahr;Anzahl;anteil
1950;748329;10.9
1951;752697;10.9
1952;767639;11.1
1953;790654;11.4
1954;775291;11.1
1955;795938;11.3
1956;812111;11.5
1957;840195;11.8
1958;818418;11.4
1959;835402;11.6
1960;876721;12
1961;850300;11.6
1962;878814;11.9
1963;895070;12
1964;870319;11.6
1965;907882;12
1966;911984;12
1967;914417;12
1968;976521;12.7
1969;988092;12.8
1970;975664;12.6
1971;965623;12.3
1972;965689;12.2
1973;962988;12.2
1974;956573;12.1
1975;989649;12.6
1976;966873;12.3
1977;931155;11.9
1978;955550;12.2
1979;944474;12.1
1980;952371;12.1
1981;954436;12.2
1982;943832;12.1
1983;941032;12.1
1984;917299;11.8
1985;929649;12
1986;925426;11.9
1987;901291;11.6
1988;900627;11.5
1989;903441;11.5
1990;921445;11.6
1991;911245;11.4
1992;885443;11
1993;897270;11.1
1994;884661;10.9
1995;884588;10.8
1996;882843;10.8
1997;860389;10.5
1998;852382;10.4
1999;846330;10.3
2000;838797;10.2
2001;828541;10.1
2002;841686;10.2
2003;853946;10.3
2004;818271;9.9
2005;830227;10.1
2006;821627;10
2007;827155;10.1
2008;844439;10.3
2009;854544;10.4
2010;858768;10.5
2011;852328;10.6
2012;869582;10.8
2013;893825;11.1
2014;868356;10.7
2015;925200;11.3
2016;910902;11
2017;932272;11.3
2018;954874;11.5
2019;939520;11.3
2020;985572;11.8
